user,date,text,favorite_count,hashtags,user_loc
MichaelAgne1,Thu Apr 23 18:23:14 +0000 2020,Final Educational post today for those that don't understand our economic and monetary system based upon QE. I even… https://t.co/1ywaEj34BN,0,[],
1_version_2_go,Thu Apr 23 18:01:23 +0000 2020,"#GoldmanSachs 
#BlackRock is ditching coal!

#CHASE should too

stop fossil fuels

Tell #ChaseBank to stop
#divest… https://t.co/1cWFJWZ7CR",0,"['GoldmanSachs', 'BlackRock', 'CHASE', 'ChaseBank', 'divest']",
1_version_2_go,Thu Apr 23 18:00:48 +0000 2020,"#GoldmanSachs 
#BlackRock is ditching coal!
Asking #Chase to stop,
Chase: #StopTheMoneyPipeline, 
Chase likes fossi… https://t.co/LTMLzpb0jS",0,"['GoldmanSachs', 'BlackRock', 'Chase', 'StopTheMoneyPipeline']",
1_version_2_go,Thu Apr 23 17:59:59 +0000 2020,"Please help ask #Chase to stop
Chase: #StopTheMoneyPipeline 
They like fossil fuels! :(
Divest from #Chase today! T… https://t.co/qAvF5fePgJ",0,"['Chase', 'StopTheMoneyPipeline', 'Chase']",
1_version_2_go,Thu Apr 23 17:58:37 +0000 2020,"#StopTheMoney
Divest from #Chase today!
They like fossil fuels! :(
Take your $ OUT of #ChaseBank 
Divest from… https://t.co/znD0JdybkB",0,"['StopTheMoney', 'Chase', 'ChaseBank']",
1_version_2_go,Thu Apr 23 17:58:22 +0000 2020,"#StopTheMoney
Divest from #Chase today!
They like fossil fuels! :(
Take your $ OUT of #ChaseBank 
Divest from… https://t.co/SypiIS2YKC",0,"['StopTheMoney', 'Chase', 'ChaseBank']",
CrisMontgat,Thu Apr 23 17:05:46 +0000 2020,"RT @MrsC_Assange: 2/2 Background

*#Turnbull was fmr Managing Director/partner of giant US Bank #GoldmanSachs 

*Turnbull knifed fmr PM #Ab…",0,"['Turnbull', 'GoldmanSachs']",Montgat (BCN)
Swampstompper,Thu Apr 23 17:00:54 +0000 2020,"RT @kirillklip: #UBS &amp; #GoldmanSachs placed clients &amp; Bank of America dreams $3,000 handle for Gold in 18 months. When they can't PUMP old…",0,"['UBS', 'GoldmanSachs']","Florida, USA"
RightCoastProJJ,Thu Apr 23 16:00:20 +0000 2020,"RT @kirillklip: #UBS &amp; #GoldmanSachs placed clients &amp; Bank of America dreams $3,000 handle for Gold in 18 months. When they can't PUMP old…",0,"['UBS', 'GoldmanSachs']","Newark, DE"
magnuswheatley,Thu Apr 23 15:06:16 +0000 2020,Apple at $280 today. That Goldman Sachs analyst note stood the test of time - Not. And today they are powder-puffin… https://t.co/Ot5eU28oQI,0,[],London
SilverTrader28,Thu Apr 23 15:04:38 +0000 2020,"RT @kirillklip: #UBS &amp; #GoldmanSachs placed clients &amp; Bank of America dreams $3,000 handle for Gold in 18 months. When they can't PUMP old…",0,"['UBS', 'GoldmanSachs']",90210
FintechHorizons,Thu Apr 23 14:57:33 +0000 2020,News! #GoldmanSachs #Paige Paige Receives Additional Investment from Goldman Sachs: Paige Receives Additional Inves… https://t.co/6aZ9tPf04A,0,"['GoldmanSachs', 'Paige']","Arizona, USA"
HedgehogTrader,Thu Apr 23 13:39:30 +0000 2020,"RT @kirillklip: #UBS &amp; #GoldmanSachs placed clients &amp; Bank of America dreams $3,000 handle for Gold in 18 months. When they can't PUMP old…",0,"['UBS', 'GoldmanSachs']",Toronto
