user,date,text,favorite_count,hashtags,user_loc
poandpo,Fri Apr 17 10:35:10 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/fgK14817lR,0,"['Earnings', 'Citigroup', 'net']",World
poandpo,Fri Apr 17 10:10:12 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/ZF3AK8HJ8b,0,"['Earnings', 'Citigroup', 'net']",World
Tickeron,Fri Apr 17 09:27:00 +0000 2020,"$C in Downtrend: 50-day Moving Average crossed below 200-day Moving Average on March 19, 2020. View odds for this a… https://t.co/bF2ZLoNFyL",0,[],"Sunnyvale, CA"
poandpo,Fri Apr 17 09:10:10 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/lRxf1T3keP,0,"['Earnings', 'Citigroup', 'net']",World
poandpo,Fri Apr 17 08:35:09 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/Y7IVHLkYJm,0,"['Earnings', 'Citigroup', 'net']",World
GreenAnarx,Fri Apr 17 06:30:18 +0000 2020,#citigroup #neoliberalism #Neocons #Capitalism Remember in 2005 when Citigroup proposed their plan for corporate ta… https://t.co/R4SH4ZQt40,1,"['citigroup', 'neoliberalism', 'Neocons', 'Capitalism']",
retailnewsasia,Thu Apr 16 23:14:06 +0000 2020,Q1 Profits Plummet for #Citigroup | read: https://t.co/cYrRWTrgDU | #Asia #Bank #Banking #Citi #Finance https://t.co/S6CSF0Rw9V,0,"['Citigroup', 'Asia', 'Bank', 'Banking', 'Citi', 'Finance']",A.S.I.A
retailnewsasia,Thu Apr 16 23:06:47 +0000 2020,Q1 Profits Plummet for #Citigroup | read: https://t.co/exBc1HCwOM | #Asia #Citi https://t.co/yOLmEvjXNI,0,"['Citigroup', 'Asia', 'Citi']",A.S.I.A
Marketwall_Com,Thu Apr 16 15:45:12 +0000 2020,Revenue increased by 12% driven by #trading volume but #Citigroup is called to deal with #creditcard business repre… https://t.co/b25Ovq36hQ,1,"['trading', 'Citigroup', 'creditcard']","Milan, Lombardy"
InvestingStockz,Thu Apr 16 15:05:02 +0000 2020,"#Citigroup, $C, is down 5% - https://t.co/VIrzVqPf0K",0,['Citigroup'],Worldwide
