user,date,text,favorite_count,hashtags,user_loc
optidad,Wed Apr 22 22:41:40 +0000 2020,@realDonaldTrump 🇺🇸#potus HELP 🇺🇸19 Employees 🇺🇸#smallbusiness We’ve been with #bankofamerica for over 25 years.… https://t.co/IIy2TzYL9X,1,"['potus', 'smallbusiness', 'bankofamerica']","Brant Beach, NJ"
SmartpplMatter2,Wed Apr 22 22:41:32 +0000 2020,I am boycotting #BankofAmerica because they are not sending out unemployment checks like they should be and you can… https://t.co/swh4mtPbRe,0,['BankofAmerica'],USA
shrifilm,Wed Apr 22 22:38:44 +0000 2020,.@BankofAmerica customer service rep was not able to waive the interest (which I should have never been charged in… https://t.co/0Eede1ZRIw,0,[],Internet
UnitedWaysCA,Wed Apr 22 22:37:16 +0000 2020,RT @UWInlandValleys: We would like to say a big THANK YOU to @BankofAmerica for their support in these challenging times! #BankofAmerica #L…,0,['BankofAmerica'],California
Rosie12302,Wed Apr 22 22:16:24 +0000 2020,#bankofamerica #bankofamericafailstheamericans Bank of America has failed us. We have not heard from them; no way t… https://t.co/oybnIo1RzV,0,"['bankofamerica', 'bankofamericafailstheamericans']",
PHXENGLE,Wed Apr 22 22:14:40 +0000 2020,#bankofamerica FUCK YOU BANK OF AMERICA. We are canceling all of our accounts. We have 15 employees depending on th… https://t.co/VVyMGlK7AG,1,['bankofamerica'],
gmill99,Wed Apr 22 22:11:18 +0000 2020,#bankofamerica Thanks for verifying my #PPPloan and doing nothing. I will go bankrupt.,1,"['bankofamerica', 'PPPloan']","San Diego, CA"
ieUnitedWay,Wed Apr 22 22:00:50 +0000 2020,We would like to say a big THANK YOU to @BankofAmerica for their support in these challenging times! #BankofAmerica… https://t.co/xZBBvea90Z,0,['BankofAmerica'],"Rancho Cucamonga, CA"
UWInlandValleys,Wed Apr 22 22:00:22 +0000 2020,We would like to say a big THANK YOU to @BankofAmerica for their support in these challenging times! #BankofAmerica… https://t.co/KKK7FTEPJu,0,['BankofAmerica'],"Riverside, California"
PastorJack5,Wed Apr 22 21:55:27 +0000 2020,RT @Rodney_Nielsen: #bankofamerica SHAME on BofA for prioritized apps for PPP funding based on the outstanding loans these businesses had w…,0,['bankofamerica'],"La Mirada, Ca"
crypto__mak,Wed Apr 22 21:53:08 +0000 2020,"RT @crypto__mak: Fed Can’t Print Gold: Bank of America Predicts Gold Price To Hit $3,000 In 2021 https://t.co/lxrKjbT7ml #Cryptocurrency #A…",0,['Cryptocurrency'],United Kingdom
00x1337,Wed Apr 22 21:49:42 +0000 2020,RT @BobDibuono: No politics here. Just some levity.  Comedian bob dibuono’s impression of Donald Trump. 👏🏻. #trump #DonaldTrump #bankofamer…,0,"['trump', 'DonaldTrump']","Florida, USA"
king_dividend,Wed Apr 22 21:29:52 +0000 2020,Slowly slowly we will be all Green one day 🙏🏻 #investing #DividendInvesting #unibenvsunilag #wizkid #EarthDay2020… https://t.co/fBvYarcoeT,2,"['investing', 'DividendInvesting', 'unibenvsunilag', 'wizkid', 'EarthDay2020']",
OLAGUNJUOLADAYO,Wed Apr 22 21:28:18 +0000 2020,@JR_Howell_JR @twmays1974 @BofA_Help @BankofAmerica @BofA_News Interesting. Thanks @JR_Howell_JR for your update. I… https://t.co/HQlDGJtvty,0,[],"Palo Alto, CA"
Lloyd876,Wed Apr 22 21:00:26 +0000 2020,Besides Govt taxes bank are next HUGE crooks that have stifled small businesses and basically wiped out the middle… https://t.co/uKIIzYtKHF,1,[],646NYC✈876KIN
RamyarOfficial,Wed Apr 22 20:29:45 +0000 2020,"https://t.co/4T3V4rYbJ5
#Gold to Reach $3,000—50% Above Its Record, #BankofAmerica Says.
#Economy #Future #Price… https://t.co/6yWzKIbLLR",1,"['Gold', 'BankofAmerica', 'Economy', 'Future', 'Price']", Tehran
AutoCaviar,Wed Apr 22 20:27:04 +0000 2020,@TDBank_US worst banking experience of my life. Management should be ashamed will 100% be changing to… https://t.co/njO3g37Jh2,2,[],
