,user,date,text,favorite_count,hashtags,user_loc
74,overtimeLaw,Wed Apr 22 18:02:04 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","Houston, TX"
75,OLUISBLESSED,Wed Apr 22 18:01:43 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","Houston, TX"
76,HOUBizJournal,Wed Apr 22 18:00:08 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/L4a0RwI3SC",1,"['banking', 'WellsFargo', 'PPP']",Houston
77,regina_heyward,Wed Apr 22 17:50:57 +0000 2020,"RT @USPAACC: Join us on Thursday, April 23 at 1:30pm EST with business leaders ready to Reboot Our Economy! RSVP https://t.co/CuC31WYofP

S…",0,[],
78,HigherEdWorks,Wed Apr 22 17:33:14 +0000 2020,"Higher Ed Works is truly honored to receive a $10,000 grant from @WellsFargo to support COVID-19 Recovery. We’re al… https://t.co/z9Q4cGzPnV",5,[],North Carolina
79,TeresaJTaylor1,Wed Apr 22 16:53:42 +0000 2020,@Ask_WellsFargo WHYYYY IS IT IMPOSSIBLE TO SPEAK TO AN ACTUAL HUMAN BEING WHEN CALLING #WellsFargo ? Idk if an auto… https://t.co/7xjtCkOuwb,0,['WellsFargo'],"Washington, USA"
80,CFRAZIER329,Wed Apr 22 16:48:39 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Georgia, USA"
81,eschuber8,Wed Apr 22 16:30:21 +0000 2020,"#caresact #bailouthumans #WellsFargo, JPMorgan Among Banks Sued Over #SBA Virus Loans https://t.co/quCOj0Lmks via @YahooFinance",0,"['caresact', 'bailouthumans', 'WellsFargo', 'SBA']","Peaceful Moment, USA"
82,CravalynnB,Wed Apr 22 16:28:39 +0000 2020,@Oregonian Hands off it #WellsFargo,0,['WellsFargo'],Boca Rutan
83,Schumack_1,Wed Apr 22 16:02:27 +0000 2020,@WellsFargo I'm embarrassed to have multiple accounts with this company. Everytime I check the news it seems like y… https://t.co/qJi6OjQWCY,0,[],"Eden Prairie, MN"
84,OBJUpdate,Wed Apr 22 16:00:28 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/UpdmzBfkSg",0,"['banking', 'WellsFargo', 'PPP']",Orlando
85,rickssavage,Wed Apr 22 15:41:45 +0000 2020,45 minutes at Burnsville Parkway Wells Fargo drive thru.  Not a big fan of #WellsFargo with everything that is going on with this company.,0,['WellsFargo'],"North Mankato, MN"
86,MFIMiami,Wed Apr 22 15:01:43 +0000 2020,"Wall Street Banks Plan To Crash The Housing Market Again! https://t.co/qROr8A7uR9
#wallstreet #JPMorganChase… https://t.co/nZa2FQYJhm",0,"['wallstreet', 'JPMorganChase']","Ft. Lauderdale, FL"
87,DrLee4America,Wed Apr 22 14:50:45 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],USA Volunteer Tweeter
88,WegeSusanne,Wed Apr 22 14:48:28 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Sugar Land,TX"
89,jobgotscrewed,Wed Apr 22 14:44:48 +0000 2020,@business No surprise here. This is the same bank that helped Greece cook its books to gain entry into the EU. When… https://t.co/fz5wSBYgj0,0,[],"Springfield, MA"
90,audreynapoleon,Wed Apr 22 14:23:58 +0000 2020,Shame on the News outlets AND on the big Banks #bankofamerica #ChaseBank #WellsFargo - Banks collect a percentage b… https://t.co/xCjD7t2lm1,3,"['bankofamerica', 'ChaseBank', 'WellsFargo']","New York, USA"
91,SalomnM,Wed Apr 22 14:10:30 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Villavicencio, Colombia"
92,CJ_Urbane,Wed Apr 22 14:07:45 +0000 2020,"RT @MattEganCNN: Small businesses accuse #WellsFargo, @JPMorgan, @BankofAmerica
&amp; @USBank of unfairly prioritizing emergency loan requests…",0,['WellsFargo'],igboland
93,LaMonicaBuzz,Wed Apr 22 14:06:34 +0000 2020,"RT @MattEganCNN: Small businesses accuse #WellsFargo, @JPMorgan, @BankofAmerica
&amp; @USBank of unfairly prioritizing emergency loan requests…",0,['WellsFargo'],"New York, NY"
94,CorpBizAdvice,Wed Apr 22 13:28:38 +0000 2020,"DISGUSTING #Bigbanks used #CARESAct to make big loans cutting out #SMB #WellsFargo complaint states it ""chooses pri… https://t.co/SDscUkM67q",0,"['Bigbanks', 'CARESAct', 'SMB', 'WellsFargo']",
95,KellieKellie916,Wed Apr 22 13:06:38 +0000 2020,@kathymantrafit1 @HAnthonyWalkerI @IvankaTrump This is bad to here #Wellsfargo #BankofAmerica,0,"['Wellsfargo', 'BankofAmerica']",
96,AdoCosa,Wed Apr 22 13:02:50 +0000 2020,"#WellsFargo was recently sued for their 401k practices plus all of other practices in the past, will they ever get… https://t.co/50JwpjPNV7",0,['WellsFargo'],
97,AdoCosa,Wed Apr 22 12:56:59 +0000 2020,Times are very hard for individuals and business right now. A lot of people have been laid off and are pulling mone… https://t.co/l2pGOXryTm,1,[],
98,LABizJournal,Wed Apr 22 12:00:46 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/EfD97jqqDr",0,"['banking', 'WellsFargo', 'PPP']","Los Angeles, CA"
99,TerriAWilliams1,Wed Apr 22 11:49:27 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Missouri, USA"
